iter	Passed	Remaining
0	0	93
1	1	86
2	2	83
3	3	78
4	4	78
5	5	78
6	5	78
7	6	77
8	7	77
9	8	76
10	9	75
11	10	75
12	11	76
13	12	76
14	13	75
15	14	74
16	15	74
17	16	73
18	17	72
19	18	72
20	19	71
21	19	70
22	21	70
23	22	71
24	23	70
25	24	70
26	25	69
27	26	68
28	27	67
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	45
53	51	44
54	52	42
55	53	41
56	54	40
57	55	39
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	72	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
